community_id,size,mean_tweet_polarity,polarity_variance
3584,73,0.02113013698630137,0.015885938817789456
19279,8,-0.0654875,0.012911738593750001
18611,7,0.03232857142857143,0.006270819183673468
4132,7,-0.04228571428571428,0.010728489795918368
6485,6,-0.02075,0.0021528125
1849,5,-0.33708,0.17356021359999999
17126,5,0.14808,0.0188941056
7483,4,-0.148,0.021903999999999996
14577,4,-0.16455,0.0271361075
13758,4,-0.148,0.021903999999999996
19136,4,0.253575,0.06983906187500001
11715,4,-0.446875,0.200499266875
17509,4,-0.075875,0.008535866874999999
5245,3,-0.23156666666666667,0.030477042222222223
13224,3,-0.25899999999999995,0.036835226666666665
12412,3,-0.24603333333333333,0.03199001555555556
11354,3,-0.5661,0.16254348666666668
11377,3,0.30116666666666664,0.05081688222222223
9765,3,-0.33793333333333325,0.057360828888888875
9246,3,-0.19736666666666666,0.021707882222222225
17145,3,0.08333333333333333,0.01388888888888889
16999,3,0.3511333333333333,0.06164730888888887
