community_id,semantic_cohesion
1849,0.4691053628921509
3584,0.7302221655845642
4132,0.48913106322288513
5245,0.5592291951179504
6485,0.5343669652938843
7483,0.5232506394386292
9246,0.6023727059364319
9765,0.5906800031661987
11354,0.5815762281417847
11377,0.5139922499656677
11715,0.5075016021728516
12412,0.5731531381607056
13224,0.48939570784568787
13758,0.5551813244819641
14577,0.5405983924865723
16999,0.9976158142089844
17126,0.5972671508789062
17145,0.4828222095966339
17509,0.5355406999588013
18611,0.4707164764404297
19136,0.4814870357513428
19279,0.4916844964027405
