community_id,topic_keywords
1849,"hate, dem, maryschmidt, gop, carter, start, clinton, recieved, among, base"
3584,"trump, important, updates, magamemascoin, sincerely, maga, memecoin, administration, holders, make"
4132,"biden, joe, para, presidente, estados, unidos, que, las, afpespanol, del"
5245,"policy, biden, china, too, administration, adopts, cautious, coexistence, toward, communist"
6485,"drpenking, biden, fell, did, camera, switch, off, kachiucheagwu, accidents, occur"
7483,"aristeguionline, como, sentenciado, con, biden, estado, tenemos, luz"
9246,"primary, biden, job, competitive, first, zach, appreciate, response, here, run"
9765,"que, biden, del, votaron, por, armandoreporta, quisiera, tomar, ahorita, relevo"
11354,"cannot, biden, must, turn, narrative, around, then, win, wrdcsc, been"
11377,"biden, popular, vote, margin, flips, gets, trump, winwithjmc, fair, clearly"
11715,"his, biden, isisfrog, coming, genuinely, think, trump, threat, democracy, vance"
12412,"biden, been, his, perception, matters, gives, minute, word, salad, people"
13224,"biden, after, drops, kams, polling, isn, going, magically, rebound, then"
13758,"hablemosenoff, biden, presidente, era, mejor, candidato, tengo, que, sigue, siendo"
14577,"his, jeremykonyndyk, biden, own, communist, beliefs, obsession, beginning, suspect, netanyahu"
16999,"donald, trump, fini, par, avoir, une, relation, sexuelle, avec, lui"
17126,"emilybwebb, conservative, don, lot, becoming, less, age, feeling, uncommon, yeah"
17145,"conservative, ontario, bcbluecon, pitiful, definition, apparently, ford, purple, best, possible"
17509,"blame, zionist, entity, crushed, turned, distant, monstrous, memory, like, nazis"
18611,"biden, grants, politico, reporting, some, joe, biggest, donors, also, funding"
19136,"biden, doing, vote, november, clear, shown, tremendous, lack, moral, clarity"
19279,"spotterbrett, biden, hackermcduffer, might, kinda, funny, watch, shit, his, pants"
