community_id,size,old_sentiment_variance,new_sentiment_variance,old_semantic_cohesion,new_semantic_cohesion
1849,5,0.17356021359999999,0.16041447333333336,0.4691053628921509,0.4691053628921509
3584,73,0.015885938817789456,0.03545461076165685,0.7302221655845642,0.2568235695362091
4132,7,0.010728489795918368,0.00865343209876543,0.4891310632228851,0.4891311228275299
5245,3,0.030477042222222223,0.06634024187500001,0.5592291951179504,0.25415393710136414
6485,6,0.0021528125,0.0018979897959183673,0.5343669652938843,0.38261905312538147
7483,4,0.021903999999999996,0.02102784,0.5232506394386292,0.5232506394386292
9246,3,0.021707882222222225,0.0880926525,0.6023727059364319,0.37771424651145935
9765,3,0.057360828888888875,0.19625992187500002,0.5906800031661987,0.4176141023635864
11354,3,0.16254348666666668,0.318861366875,0.5815762281417847,0.23804986476898193
11377,3,0.05081688222222223,0.055119166875,0.5139922499656677,0.5139923095703125
11715,4,0.200499266875,0.192350976,0.5075016021728516,0.5075018405914307
12412,3,0.03199001555555556,0.035342336875,0.5731531381607056,0.5731531977653503
13224,3,0.036835226666666665,0.059468871874999996,0.4893957078456878,0.362563818693161
13758,4,0.021903999999999996,0.02102784,0.5551813244819641,0.26386234164237976
14577,4,0.0271361075,0.026041158400000004,0.5405983924865723,0.35248467326164246
16999,3,0.06164730888888887,0.06935322249999999,0.9976158142089844,0.9976157546043396
17126,5,0.0188941056,0.0187906,0.5972671508789062,0.41566991806030273
17145,3,0.01388888888888889,0.01171875,0.4828222095966339,0.23466694355010986
17509,4,0.008535866874999999,0.0490466144,0.5355406999588013,0.2884363830089569
18611,7,0.006270819183673468,0.005057944691358025,0.4707164764404297,0.470716655254364
19136,4,0.06983906187500001,0.05678752240000001,0.4814870357513428,0.44316527247428894
19279,8,0.012911738593750001,0.05652657640000001,0.4916844964027405,0.3511974513530731
